accession,description,category,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
KYTJ820101,"Hydropathy index (Kyte-Doolittle, 1982)",hydrophobicity,1.8,-4.5,-3.5,-3.5,2.5,-3.5,-3.5,-0.4,-3.2,4.5,3.8,-3.9,1.9,2.8,-1.6,-0.8,-0.7,-0.9,-1.3,4.2
WIMW960101,"Free energies of transfer of AcWl-X-LL peptides from bilayer interface to water (Wimley-White, 1996)",hydrophobicity,4.08,3.91,3.83,3.02,4.49,3.67,2.23,4.24,4.08,4.52,4.81,3.77,4.48,5.38,3.8,4.12,4.11,6.1,5.19,4.18
ENGD860101,"Hydrophobicity index (Engelman et al., 1986)",hydrophobicity,-1.6,12.3,4.8,9.2,-2.0,4.1,8.2,-1.0,3.0,-3.1,-2.8,8.8,-3.4,-3.7,0.2,-0.6,-1.2,-1.9,0.7,-2.6
FAUJ880103,"Normalized van der Waals volume (Fauchere et al., 1988)",volume,1.0,6.13,2.95,2.78,2.43,3.95,3.78,0.0,4.66,4.0,4.0,4.77,4.43,5.89,2.72,1.6,2.6,8.08,6.47,3.0
KLEP840101,"Net charge (Klein et al., 1984)",charge,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAR740102,"Polarity (Grantham, 1974)",polarity,8.1,10.5,11.6,13.0,5.5,10.5,12.3,9.0,10.4,5.2,4.9,11.3,5.7,5.2,8.0,9.2,8.6,5.4,6.2,5.9
CHAM820101,"Polarizability parameter (Charton-Charton, 1982)",polarizability,0.046,0.291,0.134,0.105,0.128,0.18,0.151,0.0,0.23,0.186,0.186,0.219,0.221,0.29,0.131,0.062,0.108,0.409,0.298,0.14
BHAR880101,"Average flexibility indices (Bhaskaran-Ponnuswamy, 1988)",flexibility,0.357,0.529,0.463,0.511,0.346,0.493,0.497,0.544,0.323,0.462,0.365,0.466,0.295,0.314,0.509,0.507,0.444,0.305,0.42,0.386
